Crop,ID,Unique_ID,State,Treatment,Stem_Length_cm,Leaf_Vein_mm,Leaf_Count,Leaf_Width_mm,Root_Length_mm,Node_Count,Fresh_Mass_g,Fruited,Flowered,Root.Nodules.Present,Stem_Diameter_mm,Root_count,Dry_Mass_g,Dry_Root_Mass_g,Notes
Banana,19,Banana 19,Dead,Triple15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Banana,20,Banana 20,Dead,Triple15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Banana,21,Banana 21,Harvested,Optimar,62,114,6,42.67,108.1,NA,25.7,NA,NA,NA,11,14,NA,NA,
Banana,22,Banana 22,Harvested,Optimar,60,124.333,8,42.67,108.8,NA,30.6,NA,NA,NA,10,15,NA,NA,
Banana,23,Banana 23,Harvested,Optimar,58,112,7,41.67,156,NA,28.3,NA,NA,NA,11,8,NA,NA,3 hojas secas
Banana,24,Banana 24,Harvested,Optimar,49,119,7,42.33,133.2,NA,24.7,NA,NA,NA,11,13,NA,NA,
Banana,25,Banana 25,Harvested,Optimar,54,117.333,8,39.67,109.2,NA,20.2,NA,NA,NA,10,15,NA,NA,
Eggplant,1,Eggplant 1,Harvested,Dilution,24.5,105.37,6,66.535,68.5,6,8.1,NA,NA,NA,NA,NA,960.5,143.2,
Eggplant,2,Eggplant 2,Harvested,Dilution,20.5,101.545,7,68.91,87.36,7,7.7,NA,NA,NA,NA,NA,958.3,142.8,
Eggplant,3,Eggplant 3,Harvested,Dilution,24.5,79.105,8,53.465,83.64,7,5.4,NA,NA,NA,NA,NA,753,120.4,
Eggplant,4,Eggplant 4,Harvested,Dilution,28.5,90.2,7,62.065,133.21,7,11.6,NA,NA,NA,NA,NA,1114.5,287.4,
Eggplant,5,Eggplant 5,Harvested,Dilution,22,97.6,7,77.135,90,6,10.2,NA,NA,NA,NA,NA,1238.5,278.9,
Eggplant,6,Eggplant 6,Harvested,Water,23.5,75.16,7,59.88,150,6,9.1,NA,NA,NA,NA,NA,1008.4,207.3,
Eggplant,7,Eggplant 7,Harvested,Water,15.5,58.13,7,37.89,65,5,2.2,NA,NA,NA,NA,NA,236,52.1,
Eggplant,8,Eggplant 8,Dead,Water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,murió
Eggplant,9,Eggplant 9,Dead,Water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,murió
Eggplant,10,Eggplant 10,Harvested,Water,21.5,74.085,6,54.55,105,6,5.6,NA,NA,NA,NA,NA,667.7,145.6,
Eggplant,11,Eggplant 11,Harvested,Triple15,18,77.795,4,57.695,150,4,4.9,NA,NA,NA,NA,NA,609.9,197.9,
Eggplant,12,Eggplant 12,Dead,Triple15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,murió
Eggplant,13,Eggplant 13,Dead,Triple15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,murió
Eggplant,14,Eggplant 14,Dead,Triple15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,murió
Eggplant,15,Eggplant 15,Harvested,Triple15,23,93.46,4,62.77,90,4,6.5,NA,NA,NA,NA,NA,855,207,
Eggplant,16,Eggplant 16,Harvested,Extract,21,88,4,61.765,120,4,6.5,NA,NA,NA,NA,NA,806,172.9,
Eggplant,17,Eggplant 17,Harvested,Extract,25,92.3,7,60.61,170,6,8.8,NA,NA,NA,NA,NA,1024.6,255.3,
Eggplant,18,Eggplant 18,Harvested,Extract,26,78.54,6,64.28,145,5,8.9,NA,NA,NA,NA,NA,936.2,223.1,
Eggplant,19,Eggplant 19,Harvested,Extract,22,89.145,6,58.605,140,6,8.2,NA,NA,NA,NA,NA,1049.1,265.4,
Eggplant,20,Eggplant 20,Harvested,Extract,23,78.46,5,56.975,141,4,5.4,NA,NA,NA,NA,NA,630.5,130.3,
Eggplant,21,Eggplant 21,Harvested,Optimar,17.5,69.43,4,50,119,4,3.9,NA,NA,NA,NA,NA,441.1,87,
Eggplant,22,Eggplant 22,Dead,Optimar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
